ARTIST,LABEL,MEDIA,GENRE,COMMENT,GENERAL INFO,CONDITION
"CASH, Johnny",SUN,Singles: 7-inch,Rockabilly,"B-side= ""I Just Thought You'd Like To Know.""","309 ""It's Just About Time"" ",Near Mint
"LEWIS, Jerry Lee",SUN,Singles: 7-inch,Rockabilly,"B-side= ""It Hurt Me So."" X on one side of label.","312 ""I'll Sail My Ship Alone"" ",Near Mint
"RILEY, Billy Lee",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Down By The Riverside.""","313 ""No Name Girl"" ",Mint
"SMITH, Warren",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Goodby Mr. Love.""","314 ""Sweet, Sweet Girl"" ",Mint
"CASH, Johnny",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Thanks A Lot.""","316 ""Luther Played the  Boogie"" ",Near Mint
"LEWIS, Jerry Lee",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Big Blon' Baby.""","317 ""Lovin' Up a Storm"" ",Near Mint
"SMITH, Ray",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Sail Away.""","319 ""Rockin' Bandit"" ",Mint
"CASH, Johnny",SUN,Singles: 7-inch,Rockabilly,"B-side= ""I Forgot To Remember To Forget."" Small sticker on label.","321 ""Katy Too"" ",Very Good ++
"RILEY, Billy Lee",SUN,Singles: 7-inch,Rockabilly,"B-side= ""One More Time.""","322 ""Got the Water Boiling"" ",Near Mint
"LEWIS, Jerry Lee",SUN,Singles: 7-inch,Rockabilly,"B-side= ""The Ballad Of Billy Joe.""","324 ""Let's Talk About Us"" ",Very Good ++
"TAYLOR, Vernon",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Sweet And Easy To Love."" With original Sun sleeve.","325 ""Mystery Train"" ",Mint
"MERCER, Will",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Ballad Of St. Marks.""","329 ""You're Just My Kind"" ",Mint
"LEWIS, Jerry Lee",SUN,Singles: 7-inch,Rockabilly,"B-side= ""I Could Never Be Ashamed Of You."" Marks-A-Lot on both sides of label.","330 ""Little Queenie"" ",Very Good
"CASH, Johnny",SUN,Singles: 7-inch,Rockabilly,"B-side= ""You Tell Me.""","331 ""Goodbye Little Darlin' "" ",Mint
"ISLE, Jimmy",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Together.""","332 ""What a Life"" ",Very Good +
"CASH, Johnny",SUN,Singles: 7-inch,Rockabilly,"B-side= ""I Love You Because.""","334 ""Straight A's in Love"" ",Mint
"OWEN, Mack",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Somebody Just Like You."" Tape on one side of label.","336 ""Walkin' and Talkin' "" ",Good
"CASH, Johnny",SUN,Singles: 7-inch,Rockabilly,"B-side= ""The Story Of A Broken Heart.""","343 ""Down the Street to 301"" ",Mint
"CASH, Johnny",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Port Of Lonely Hearts.""","347 ""Mean Eyed Cat"" ",Near Mint
"SHERIDAN, Bobby",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Red Man."" Promo copy.","354 ""Sad News"" ",Very Good
"CASH, Johnny",SUN,Singles: 7-inch,Rockabilly,"","355 ""Oh Lonesome Me""/""Life Goes   On"" Both sides play the correct songs.",Near Mint
"CAGLE, Wade, & Escorts",SUN,Singles: 7-inch,Rockabilly,"Promo copy. B-side= ""Groovy Train.""","360 ""Highland Rock"" ",Very Good
"CASH, Johnny",SUN,Singles: 7-inch,Rockabilly,"B-side= ""My Treasurer."" ","363 ""Sugartime"" ",Mint
"LEWIS, Jerry Lee",SUN,Singles: 7-inch,Rockabilly,"B-side= ""It Won't Happen With Me.""","364 ""Cold Cold Heart"" ",Very Good +
"LEWIS, Jerry Lee",SUN,Singles: 7-inch,Rockabilly,"B-side= ""As Long As I Live.""","367 ""Save the Last Dance for  Me"" ",Very Good ++
"CASH, Johnny",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Born To Lose.""","376 ""Blue Train"" ",Mint
"LEWIS, Jerry Lee",SUN,Singles: 7-inch,Rockabilly,"B-side= ""How's My Ex Treating You.""","379 ""Sweet Little Sixteen"" ",Very Good
"LEWIS, Jerry Lee",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Good Golly Miss Molly.""","382 ""I Can't Trust Me"" ",Near Mint
"JOHNSON, Bill",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Bobaloo."" Tear on one side of label. Very small edge crack that does not affect play. ","340 ""Bad Times Ahead"" ",Good
"LEWIS, Jerry Lee",SUN,Singles: 7-inch,Rockabilly,"B-side= ""John Henry."" With original Sun sleeve.","344 ""Hang Up My Rock & Roll  Shoes"" ",Mint
"LEWIS, Jerry Lee",SUN,Singles: 7-inch,Rockabilly,"B-side= ""When I Get Paid.""","352 ""Love Made a Fool of  Me"" ",Near Mint
"ORBISON, Roy",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Devil Doll."" With original Sun sleeve.","353 ""Sweet and Easy to  Love"" Yellow label.",Mint
"LEWIS, Jerry Lee",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Livin' Lovin' Wreck.""","356 ""What'd I Say"" ",Near Mint
"LEWIS, Jerry Lee",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Bonnie B.""","371 ""Money"" ",Near Mint
"LEWIS, Jerry Lee",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Old Black Joe.""","337 ""Baby Baby, Bye Bye"" ",Very Good ++
"LEWIS, Jerry Lee & Linda Gail",SUN,Singles: 7-inch,Rockabilly,Name written on one side of label.,"384 ""Teenage Letter""/""Seasons of My Heart"" Linda Gail is on B-side only.",Very Good
"CASH, Johnny",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Belshazah."" Name written on one side of label.","392 ""Wide Open Road"" ",Very Good
JESTERS,SUN,Singles: 7-inch,Rockabilly,"B-side= ""My Babe.""","400 ""Cadillac Man"" ",Mint
"LEWIS, Jerry Lee",SUN,EPs: 7-inch,Rockabilly,"""Whole Lot Of Shakin' Going On"" and ""Turn Around"" and ""Mean Woman Blues"" and ""I'm Feelin' Sorry.""","107 ""The Great Ball of   Fire"" Issued with a paper sleeve.",Very Good ++
"LEWIS, Jerry Lee",SUN,EPs: 7-inch,Rockabilly,"""Don't Be Cruel"" and ""Goodnight Irene"" and ""Put Me Down"" and ""It All Depends.""","108 ""Jerry Lee Lewis"" Blue cover. First track listed is Don''t Be Cruel.",Very Good ++
"LEWIS, Jerry Lee",SUN,EPs: 7-inch,Rockabilly,"""Ubangi Stomp"" and ""Crazy Arms"" and ""Jambalaya"" and ""Fools Like Me."" Cardboard cover: M-; Record: VG++","109 ""Jerry Lee Lewis"" Yellow cover. First track listed is Ubangi Stomp.",Very Good ++
"CASH, Johnny",SUN,EPs: 7-inch,Rockabilly,"Cardboard VG+
Record VG+
Tear on one side of label.","111 ""Johnny Cash Sings Hank  Williams"" ",Very Good +
"MANN, Carl",PHILLIPS INT,Singles: 7-inch,Rockabilly,"""Pretend"" and ""Rockin' Love."" B-side label scuffed."," 3546 ""Pretend""",Very Good
"JUSTIS, Bill",PHILLIPS INT,Singles: 7-inch,Instrumental,"B-side= ""The Midnite Man."" Small sticker on one side of label."," 3519 ""Raunchy""",Very Good
"PITTMAN, Barbara",PHILLIPS INT,Singles: 7-inch,Rockabilly,"B-side= ""Everlasting Love."" Sticker on one side of label."," 3527 ""Cold Cold  Heart""",Very Good +
"MANN, Carl",PHILLIPS INT,Singles: 7-inch,Rockabilly,"B-side= ""Foolish One."""," 3539 ""Mona Lisa""",Very Good ++
"DUFF, Arlie",STARDAY,Singles: 7-inch,Rockabilly,"B-side= ""Poor Ole Teacher.""","104 ""You All Come"" ",Very Good
"JONES, George",STARDAY,Singles: 7-inch,Rockabilly,"""Why Baby Why"" and ""Seasons Of My Heart."" Starday 202. With original Starday sleeve.",100 & 200 series Black vinyl.,Very Good ++
"NOACK, Eddie",STARDAY,Singles: 7-inch,Country,"""It Ain't Much But It's Home"" and ""When The Bright Lights Grow Dim."" Starday 225.",225 thru 246 ,Very Good ++
"MACK, Bill",STARDAY,Singles: 7-inch,Rockabilly,With original Starday sleeve.,"231 ""Kitty Kat""/""Fat   Woman"" ",Very Good ++
"BARNES, Benny",STARDAY,Singles: 7-inch,Rockabilly,"Starday 262. ""Poor Man's Riches"" and  ""Those Who Know."" Writing on one side of label.",200 series ,Very Good +
"MILLER, Frankie",STARDAY,Singles: 7-inch,Rockabilly,"B-side= ""True Blue."" With original Starday sleeve.","424 ""Black Land  Farmer"" ",Very Good ++
"MILLER, Frankie",STARDAY,Singles: 7-inch,Rockabilly,"B-side= ""True Blue.""","424 ""Black Land  Farmer"" ",Very Good
"MILLER, Frankie",STARDAY,Singles: 7-inch,Rockabilly,"B-side= ""Family Man.""","457 ""Poppin' Johnny"" ",Near Mint
"MILLER, Frankie",STARDAY,Singles: 7-inch,Country,"B-side= ""The Money Side Of Life.""","481 ""Reunion"" ",Very Good +
"COPAS, Cowboy",STARDAY,Singles: 7-inch,Country,"Starday 493. ""South Pacific Shore"" and ""That's All I Can Remember."" Silver paint on one side of label.",476 thru 750 ,Near Mint
"MILLER, Frankie",STARDAY,Singles: 7-inch,Rockabilly,"B-side= ""Baby Rocked Her Dolly.""","496 ""Rain Rain"" ",Near Mint
"COPAS, Cowboy",STARDAY,Singles: 7-inch,Country,"Starday 501 ""Alabam"" and ""I Can.""",476 thru 750 ,Near Mint
"MILLER, Frankie",STARDAY,Singles: 7-inch,Country,"Starday 513. ""Strictly Nuthin"" and  ""Young Widow Brown.""",513 thru 566 ,Near Mint
"COPAS, Cowboy",STARDAY,Singles: 7-inch,Country,"Starday 528. ""Settin' Flat On Ready."" and  ""Midnight In Heaven.""",476 thru 750 ,Very Good +
"MILLER, Frankie",STARDAY,Singles: 7-inch,Country,"Starday 550. ""Lookin' Around Downtown"" and ""A Little Bits Better.""",513 thru 566 ,Very Good +
"MILLER, Frankie",STARDAY,Singles: 7-inch,Country,"Starday 550. ""Lookin' Around Downtown"" and ""A Little Bits Better.""",513 thru 566 ,Near Mint
BUDDY & HARDROCK,STARDAY,Singles: 7-inch,Rockabilly,"","581 ""Hillbilly Twist""/""As Long as You're Happy"" Credits Hardrock Gunter and Buddy Durham on both sides.",Very Good ++
"THOMAS, Rufus",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Walking In The Rain.""","181 ""Bear Cat"" Without subtitle.",Very Good
"EMERSON, Billy",SUN,Singles: 7-inch,Rockabilly,"B-side= ""No Greater Love."" Tear on one side of label.","219 ""Red Hot"" ",Very Good
"CASH, Johnny",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Hey, Porter!""","221 ""Cry! Cry! Cry!"" ",Very Good
"CASH, Johnny",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Hey Porter!""","221 ""Cry! Cry! Cry!"" ",Very Good +
"PERKINS, Carl",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Let The Jukebox Keep On Playing.""","224 ""Gone Gone Gone"" ",Very Good ++
"CASH, Johnny",SUN,Singles: 7-inch,Rockabilly,"B-side= ""So Doggone Lonesome."" Small sticker on one side of label.","232 ""Folsom Prison Blues"" ",Very Good
"SMITH, Warren",SUN,Singles: 7-inch,Rockabilly,"Plays VG+ B-side= ""I'd Rather Be Safe Than Sorry."" 
Sticker on one side of label.
Label tear on B-side.","239 ""Rock 'N' Roll Ruby"" Title is correct.",Good
"CASH, Johnny",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Get Rhythm.""","241 ""I Walk the Line"" ",Very Good
"CASH, Johnny",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Get Rhythm.""","241 ""I Walk the Line"" ",Very Good
"PERKINS, Carl",SUN,Singles: 7-inch,Rockabilly,"B-side= ""All Mama's Children.""","243 ""Boppin' the Blues"" ",Very Good ++
