ARTIST,LABEL,MEDIA,GENRE,COMMENT,GENERAL INFO,CONDITION
? & THE MYSTERIANS,CAMEO,Singles: 7-inch,Rock,"B-side= ""Midnight Hour."" [RockB6]","428 ""96 Tears"" No mention of ""MGM"" on label.",Very Good
? & THE MYSTERIANS,ABKCO,Singles: 7-inch,Rock,"Abkco 4020. ""96 Tears"" and ""I Can't Get Enough Of You, Baby."" [RockB6]", ,Near Mint
? & THE MYSTERIANS,CAMEO,Singles: 7-inch,Rock,"B-side= """"8"" Teen."" Small cut-out hole. [RockB6]","441 ""I Need Somebody"" ",Very Good ++
ABBA,ATLANTIC,Picture Sleeves,Rock,Atlantic 3457., ,Very Good ++
ABBA,ATLANTIC,Singles: 7-inch,Rock,"DJ copy. Atlantic 3346. Mono/Stereo versions of ""Fernando.""", ,Very Good ++
"ABDUL, Paula",VIRGIN,Singles: 7-inch,Rock,"Virgin 99230. ""Forever Girl"" and ""Next To You.""", ,Near Mint
"ABDUL, Paula",VIRGIN,Picture Sleeves,Rock,"Virgin 99230. ""Forever Girl"" and ""Next To You.""", ,Near Mint
AC/DC,ATLANTIC,Promotional Singles,Rock,"","""For Those About To Rock (We Salute You) ",Near Mint
AC/DC,ATLANTIC,Promotional Singles,Rock,"","89614 ""Jailbreak"" ",Near Mint
AC/DC,ATLANTIC,Picture Sleeves,Rock,Two small staple holes on left side of sleeve.,"(81828 ""Heatseeker"") ",Very Good ++
AC/DC,ATLANTIC,Singles: 7-inch,Rock,"","89722 ""Flick of the Switch"" ",Near Mint
AC/DC,ATLANTIC,Picture Sleeves,Rock,"","(89425 ""Who Made Who"") ",Very Good ++
AC/DC,ATLANTIC,Promotional Singles,Rock,"","3644 ""Touch Too   Much"" ",Near Mint
AC/DC,ATLANTIC,Picture Sleeves,Rock,"","(89614 ""Jailbreak"") ",Near Mint
AC/DC,ATLANTIC,Promotional Singles,Rock,"","89425 ""Who Made Who"" ",Near Mint
ACADEMICS,ANCHO,Singles: 7-inch,Doo Wop,"B-side= ""At My Front Door.""","103 ""Darla My Darlin' "" ",Very Good
ACE,ANCHOR,Singles: 7-inch,Rock,"Anchor 21000. ""How Long"" and ""Sniffin' About.""", ,Very Good +
"ACE, Buddy",DUKE,Promotional Singles,R&B,"B-side= ""Baby Please Don't Go."" Tape on one side of label.","401 ""Who Can Tell"" ",Very Good
"ACE, Buddy",DUKE,Singles: 7-inch,R&B,"B-side= ""It's Gonna Be Me.""","397 ""Nothing in the World Can Hurt  Me"" ",Near Mint
"ACE, Johnny",DUKE,Singles: 7-inch,R&B,VG-. Plays VG. Name written on label.,"136 ""Pledging My Love""/""No  Money"" ",Very Good
"ACE, Johnny",DUKE,Singles: 7-inch,R&B,"B-side= ""How Can You Be So Mean."" Some label wear near hole on B-side.","144 ""Anymore"" ",Very Good
"ACE, Sonny",COBRA,Singles: 7-inch,R&B,"B-side= ""You'll Tear Our Dreams Apart."" Small label nicks on B-side.","4444 ""Oh Marie"" ",Very Good
"ACKLIN, Barbara",BRUNSWICK,Singles: 7-inch,Rock,"Brunswick 55379. ""Come And See Me Baby"" and ""Love Makes A Woman.""", ,Very Good ++
AD LIBS,BLUE CAT,Singles: 7-inch,Doo Wop,"B-side= ""Kicked Around.""","102 ""The Boy from New York  City"" ",Very Good +
AD LIBS,BLUE CAT,Singles: 7-inch,Doo Wop,"B-side= ""Ask Anybody.""","114 ""He Ain't No  Angel"" ",Very Good ++
AD LIBS,SHARE,Singles: 7-inch,Doo Wop,"B-side= ""Appreciation."" Small sticker on one side of label.","104 ""Giving Up"" ",Very Good
"ADAMS, Bobby",PURDY,Singles: 7-inch,Northern Soul,"A-side (""Don't You Feel It""=VG+. B-side=VG-, with many scratches. B-side plays great with no noise to speak of and no audible clicks. Wonderful record. Rare!","102 ""Don't You Feel It"" ",Very Good +
"ADAMS, Bryan",A&M,Singles: 7-inch,Rock,"A&M 2536. ""Straight From The Heart"" and ""One Good Reason.""",2359 thru 2964 ,Very Good ++
"ADAMS, Bryan",A&M,Picture Sleeves,Rock,"A&M 2553. ""Cuts Like A Knife"" and ""Lonely Nights.""",2536 thru 2964 ,Near Mint
"ADAMS, Charlie",DECCA,Singles: 7-inch,Country,"B-side= ""I Hope You're Happy Now."" [Ctry1]","28686 ""Baby Let Me Kindle Your   Flame"" ",Very Good ++
"ADAMS, Faye",HERALD,Singles: 7-inch,R&B,"B-side= ""I've Gotta Leave You."" Sticker on A-side.","416 ""Shake a Hand"" Black vinyl.",Very Good
"ADAMS, Faye",HERALD,Singles: 7-inch,R&B,"B-side= ""The Hammer.""","489 ""Anytime, Anyplace,  Anywhere"" ",Very Good
"ADAMS, Faye",IMPERIAL,Singles: 7-inch,R&B,"B-side= ""Johnny Lee.""","5456 ""You're Crazy"" ",Very Good
"ADAMS, Marie",PEACOCK,Singles: 7-inch,R&B,"Label is VG-. B-side= ""My Destination.""","1646 ""Shape I'm In"" ",Very Good
"ADAMS, Stacye",FRATERNITY,Promotional Singles,Pop,Small initials written on both sides.,"(1027 ""I'd Like To Come Back Home"") ",Very Good ++
"ADDERLEY, Julian ""Cannonball""",CAPITOL,Singles: 7-inch,Instrumental,"Capitol 5798. ""Mercy, Mercy, Mercy"" and ""Games.""", ,Very Good
"ADDERLEY, Julian ""Cannonball""",RIVERSIDE,Singles: 7-inch,Instrumental,"Riverside 4562. ""Brother John"" and ""Tengo Tango.""", ,Near Mint
ADDRISI BROTHERS,COLUMBIA,Promotional Singles,Rock,Sticker on one side of label.,"(45521 ""We've Got To Get It On Again"") ",Very Good
ADDRISI BROTHERS,DEL-FI,Singles: 7-inch,Rock,"","4116 ""Cherrystone"" ",Very Good +
ADDRISI BROTHERS,DEL-FI,Singles: 7-inch,Rock,With original Del-Fi sleeve.,"4120 ""Saving My Kisses"" ",Near Mint
"ADELSOHN, Herman",ROULETTE,Promotional Singles,Rock,"","(7157 ""Higher On Your Love"") ",Very Good
"ADKINS, Hasil",NORTON,EPs: 7-inch,Rockabilly,"Norton Lulu 001. Released in 1986. 'Haze's House Party.' ""Dottie Dottie"" and ""Sex Crazy Baby"" and ""Do The Hot Pants With Me"" and ""She'll Be Comin' Round The Mountain."" Includes nifty picture sleeve.", ,Mint
AERIAL LANDSCAPE,RCA,Promotional Singles,Psychedelic/Garage,"B-side= ""Proposition 13.""","9432 ""Are You Sleeping"" ",Very Good +
AEROSMITH,COLUMBIA,Singles: 7-inch,Rock,"Columbia 10278. ""Dream On"" and ""Somebody.""", ,Near Mint
AEROSMITH,GEFFEN,Picture Sleeves,Rock,"Geffen. ""Dude (Looks Like A Lady).""", ,Near Mint
AFFECTION COLLECTION,EVOLUTION,Promotional Singles,Rock,"","(1004 ""Girl"") ",Very Good ++
AFRICAN BEAVERS,RCA,Promotional Singles,Soul,"","(8639 ""You Got Something"") ",Very Good
AFTER THE FIRE,EPIC,Promotional Singles,Rock,With original Epic sleeve.,"03559 ""Der Kommissar"" ",Near Mint
"AGEE, Ray",SHIRLEY,Singles: 7-inch,R&B,"B-side= ""The Gamble.""","109 ""Open Up Your  Heart"" ",Good
"AKENS, Jewel",ERA,Singles: 7-inch,Rock,"","3141 ""Birds and the Bees"" ",Very Good +
"ALAIMO, Chuck",MGM,Singles: 7-inch,Rockabilly,"DJ copy. B-side= ""Rockin' In G.""","12636 ""Hop in My Jalop"" ",Very Good
"ALAIMO, Steve",MARLIN,Singles: 7-inch,Rockabilly,"B-side= ""Should I Care."" Steve Alaimo & The Red Coats.","6067 ""She's My Baby"" ",Very Good
"ALBERT, Urel",SPAR,Singles: 7-inch,Country,"B-side= ""Sweet And Lovely."" [Ctry1]","70001 ""Saturday Night In Nashville"" ",Very Good +
"ALBRIGHT, Budd",RCA,Singles: 7-inch,Rockabilly,"B-side= ""Got No Sunshine In My Soul."" With original RCA sleeve.","7249 ""Adrienne"" ",Near Mint
"ALDEN, Bea",MINARET,Singles: 7-inch,Rock,White label promo copy. ,"108 ""Too Far Above  Me"" ",Very Good
ALEXANDER RABBIT,A&M,Promotional Singles,Psychedelic/Garage,"B-side= ""I Didn't Even Thank Her.""","(1101 ""Malaguena"") ",Near Mint
"ALEXANDER, Arthur",DOT,Singles: 7-inch,Rock,"B-side= ""I Wonder Where You Are Tonight.""","16454 ""Dream Girl"" ",Very Good +
"ALEXANDER, Arthur",DOT,Singles: 7-inch,Rock,"B-side= ""Pretty Girls Everywhere.""","16509 ""Baby Baby"" ",Very Good ++
"ALEXANDER, Arthur",DOT,EPs: 7-inch,R&B,Record only.,"434 ""You Better Move On"" Stereo. Juke box issue only.",Near Mint
"ALEXANDER, Arthur",BUDDAH,Singles: 7-inch,Rock,"B-side= ""Everybody Needs Someone To Love."" With original Buddah sleeve.","492 ""Everyday I Have to Cry  Some"" ",Near Mint
"ALEXANDER, Arthur",DOT,Singles: 7-inch,Rock,"B-side= ""A Shot Of Rhythm And Blues."" With original Dot sleeve.","16309 ""You Better Move On"" ",Very Good ++
"ALEXANDER, Arthur",DOT,Singles: 7-inch,Rock,"With original Dot sleeve. B-side is the legendary ""Soldiers Of Love."" One of John Lennon's favorites.","16357 ""Where Have You  Been"" ",Near Mint
"ALEXANDER, Arthur",DOT,Singles: 7-inch,Rock,"B-side= ""I Hang My Head And Cry."" With original Dot sleeve.","16387 ""Anna"" ",Very Good ++
"ALEXANDER, Arthur",DOT,Singles: 7-inch,Rock,"B-side= ""You're The Reason."" With original Dot sleeve.","16425 ""Go Home Girl"" ",Near Mint
ALICE WONDER LAND,BARDELL,Singles: 7-inch,Rock,"Girl group. B-side= ""Cha Linde.""","774 ""He's Mine"" First issued by the Swans, who sing back-up here.",Very Good
ALIVE 'N KICKING,ROULETTE,Singles: 7-inch,Rock,"Roulette 7078. ""Tighter, Tighter"" and ""Sunday Morning.""", ,Near Mint
"ALLAN, Davie",GET HIP,Singles: 7-inch,Instrumental,"B-side= ""The Glory Stompers."" Includes picture sleeve.","209 ""Born Loser's Theme"" ",Near Mint
"ALLAN, Davie",MARC,Singles: 7-inch,Surf,"B-side= ""Beyond The Blue."" ","3223 ""War Path"" ",Mint
"ALLAN, Davie",TOWER,Singles: 7-inch,Surf,"DJ copy. Tower 341. ""Devil's Angels"" and ""Cody's Theme."" With original Tower sleeve.", ,Very Good ++
ALLEGROS,SUKACHA,Singles: 7-inch,Pop,"","101 ""Hula Girl"" ",Very Good
"ALLEN, Bill, & Keynotes",ELDORADO,Singles: 7-inch,Rockabilly,"B-side= ""Oo-We-Baby."" Small sticker on one side of label.","505 ""Butterfly"" ",Very Good
"ALLEN, Jackie",EDEN,Singles: 7-inch,Rock,"Teener. B-side= ""Sooner Or Later."" Amarillo, Texas record label. With Phil Hickman.","(1001 ""Pennies"") ",Near Mint
"ALLEN, Lee",EMBER,Singles: 7-inch,Instrumental,"Ember 1027. ""Walkin' With Mr. Lee"" and ""Promenade."" Small taped sticker on one side of label.",1027 thru 1047 ,Very Good
"ALLEN, Milton",RCA,Singles: 7-inch,Rockabilly,"Small sticker on both sides of label. B-side= ""Jamboree.""","7116 ""Don't Bug Me Baby"" ",Near Mint
"ALLEN, Rex",DECCA,Singles: 7-inch,Country,"Decca 27876. ""Tuck Me To Sleep In My Old 'Tucky Home"" and ""Ragtime Melody."" [Ctry1]",27876 thru 29871 ,Near Mint
"ALLEN, Tony",SPECIALTY,Singles: 7-inch,Doo Wop,"B-side= ""I."" And The Champs.","560 ""Nite Owl"" ",Very Good
"ALLEN, Tony",TAMPA,Singles: 7-inch,Doo Wop,"B-side= ""Tell Me."" With The Wonders.","157 ""Be My Love"" ",Near Mint
"ALLENS, Arvee",DEL-FI,Singles: 7-inch,Rockabilly,"Writing on one side of label. B-side= ""Big Baby Blues."" Arvee Allens is Richie Valens.","4111 ""Fast Freight"" Reissued as by Ritchie Valens.",Very Good
"ALLEY, Jim",PEARL,Singles: 7-inch,Rockabilly,VG-. Label stain. Very slight edge warp that does not affect play. Jim Alley And The Alley Cats.,"1111/1112 ""The Great Pretender""/""The Alley Cat Scratch"" Identification numbers shown since no selection number is used.",Very Good
"ALLISON, Gene",REF-O-REE,Singles: 7-inch,R&B,"Ref-o-ree 703. ""Having A Party"" and ""It's All Most Sundown."" Name written in small letters on B-side.", ,Very Good
"ALLISON, Gene",VEE-JAY,Singles: 7-inch,Doo Wop,"Vee-Jay 256. ""Hey, Hey, I Love You"" and ""You Can Make It If You Try.""", ,Near Mint
ALLMAN BROTHERS BAND,CAPRICORN,Promotional Singles,Rock,"B-side= Blue Sky.""","(0007 ""Melissa"") ",Very Good
ALLMAN BROTHERS BAND,ARISTA,Singles: 7-inch,Rock,"Arista 0618. ""Straight From The Heart"" and ""Leavin'."" Letters written on one side of label.", ,Very Good +
ALLMAN BROTHERS BAND,CAPRICORN,Promotional Singles,Rock,"","(0003 ""Ain't Wastin' Time No More"") ",Very Good
ALLMAN BROTHERS BAND,CAPRICORN,Singles: 7-inch,Rock,"Capricorn 0027. ""Ramblin Man"" and ""Pony Boy.""", ,Very Good
ALLMAN BROTHERS BAND,CAPRICORN,Promotional Singles,Rock,"","(0042 ""Don't Mess Up A Good Thing"") ",Very Good +
ALLMAN BROTHERS BAND,ARISTA,Picture Sleeves,Rock,Letters written on front of sleeve.,"0618 ""Straight from the  Heart"" ",Very Good +
"ALLSUP, Tommy",POST,Singles: 7-inch,Country,"B-side= ""Pork Chops."" And his Fir Kings. [Ctry1]","1000 ""Yas Yas Yas"" ",Very Good ++
"ALMOND, ""Lucky"" Joe",TRUMPET,Singles: 7-inch,Rockabilly,"Vinyl is VG+. Label wear both sides. B-side= ""The Last Waltz.""","199 ""Rock Me"" ",Very Good +
"ALMOND, Herschel",ACE,Singles: 7-inch,Rockabilly,"B-side= ""Let's Get It On.""","558 ""The Great Tragedy"" ",Very Good
"ALMOND, Herschel",CHALLENGE,Singles: 7-inch,Rockabilly,"B-side= ""Lonesome.""","59054 ""You Are the  One"" ",Near Mint
"ALPERT, Herb",A&M,Singles: 7-inch,Instrumental,"B-side= ""Acapulco 1922.""","703 ""The Lonely Bull"" ",Near Mint
"ALPERT, Herb",A&M,Singles: 7-inch,Instrumental,"A&M 775. ""Taste Of Honey"" and ""3rd Man Theme.""",706 thru 964 ,Very Good +
"ALPERT, Herb",A&M,Singles: 7-inch,Instrumental,"A&M 1001. ""The Christmas Song"" and ""My Favorite Things.""",1001 thru 1526 ,Near Mint
"ALPERT, Herb",A&M,Picture Sleeves,Instrumental,"A&M 840. ""Wade In The Water"" and ""Mexican Road Race.""",792 thru 1225 ,Very Good ++
"ALPERT, Herb",A&M,EPs: 7-inch,Easy Listening,"A&M 408. ""South Of The Border."" Record only.", Juke box issues only.,Very Good +
AMATONES,URBAN DOUGHBOY,Singles: 7-inch,Rock,"B-side= ""Plastic Surgeon.""","1009 ""Atomic Gears In Motion"" ",Near Mint
AMATONES,URBAN DOUGHBOY,Picture Sleeves,Rock,Autographed by Mark Jones. ,"1009 ""Atomic Gears In Motion/Plastic Surgeon"" ",Very Good ++
AMAZING RHYTHM ACES,ABC,Singles: 7-inch,Rock,"ABC 12078. ""Third Rate Romance"" and ""Mystery Train.""", ,Very Good +
AMBOY DUKES,MAINSTREAM,Singles: 7-inch,Psychedelic/Garage,"Mainstream 684. ""Journey To The Center Of The Mind"" and ""Mississippi Murderer."" ", ,Very Good
AMERICA,CAPITOL,Promotional Singles,Rock,Sticker on one side of label.,"PRO 9292 ""All Around"" ",Very Good
AMERICA,W.B.,Singles: 7-inch,Rock,"Warner Bros. 7555. ""A Horse With No Name.""", ,Very Good +
america,W.B,Promotional Singles,Rock,Small stickers (3) on one side of label.,"8157 ""Woman Tonight"" ",Very Good
AMERICA,W.B.,Promotional Singles,Rock,"B-side ""She's Gonna Let You Down.""","7785 ""Green Monkey"" ",Very Good +
AMERICAN BLUES,KARMA,Singles: 7-inch,Psychedelic/Garage,Early Dusty Hill and Rocky Hill group. Dusty Hill would later hook up with Billy Gibbons in ZZ Top.,"101 ""If I Were a  Carpenter"" ",Near Mint
AMERICAN BREED,ACTA,Singles: 7-inch,Rock,"Acta 811. ""Bend Me, Shape Me"" and ""Mindrocker.""", ,Very Good
AMERICAN FOUR,SELMA,Singles: 7-inch,Rock,"B-side= ""Soul Food."" Great instrumental in the ""Green Onions"" vein.","2001 ""Luci Baines"" ",Mint
AMES BROTHERS,CORAL,Singles: 7-inch,Country,"Coral 60887. ""Tumbling Tumbleweeds"" and ""Ole Faithful."" [Ctry1]",60140 thru 65515 ,Near Mint
"ANDERSON, Andy",APOLLO,Singles: 7-inch,Rockabilly,"B-side= ""The Way She Smiled.""","535 ""You Shake Me  Up"" ",Very Good
"ANDERSON, Andy",FELSTED,Singles: 7-inch,Rockabilly,"Numbers written on label. Very small tear on B-side of label. B-side= ""I-I-I Love You."" Andy Anderson And The Rolling Stones.","8508 ""Johnny  Valentine"" ",Very Good ++
"ANDERSON, Elton",MERCURY,Singles: 7-inch,R&B,"B-side= ""Cool Down Baby."" With original Mercury sleeve.","71542 ""Secret of  Love"" ",Very Good
"ANDERSON, Ernestine",SUE,Singles: 7-inch,Soul,"Sue 793. ""Keep An Eye On Love"" and ""Continental Mind."" {R&B}", ,Very Good
"ANDREWS, Lee",CHESS,Singles: 7-inch,Doo Wop,"B-side= ""The Girl Around The Corner.""","1675 ""Tear Drops"" Blue label, no chess pieces.",Very Good
"ANDREWS, Lee",PARKWAY,Singles: 7-inch,Doo Wop,"B-side= ""I'm Sorry, Pillow."" With original Cameo/Parkway sleeve.","860 ""Gee, But I'm  Lonesome"" ",Very Good
"ANDREWS, Lee",U.A.,Singles: 7-inch,Doo Wop,"B-side= ""Nobody's Home."" With original United Artists sleeve.","123 ""Try the Impossible"" ",Very Good ++
"ANDREWS, Ruby",ZODIAC,Singles: 7-inch,Northern Soul,"B-side= ""Where Have You Gone."" ","1015 ""You Made a  Believer"" ",Very Good
"ANGEL, Ginny",MAY,Singles: 7-inch,Rock,"B-side= ""I'm Waiting.""","122 ""Forever Goodbye  Love"" ",Very Good +
"ANGEL, Johnny",PARLIAMENT,Promotional Singles,Rockabilly,"DJ copy. Writing on one side of label. B-side= ""Day Late And A Dollar Short.""","778 ""The Fever"" ",Very Good
"ANGEL, Johnny",FELSTED,Singles: 7-inch,Rockabilly,"B-side= ""Lady Of Spain."" Johnny Angel and the Halos.","8633 ""Without Her  Heart"" ",Very Good
"ANGEL, Johnny",FELSTED,Singles: 7-inch,Rock,"White label promo copy. X's on one side. B-side= ""The Mash Potato Stomp.""","8646 ""One More  Tomorrow"" ",Very Good
"ANGEL, Ronnie",RITA,Singles: 7-inch,Rockabilly,"B-side= ""That's Alright.""","1011 ""Angel Tears"" ",Very Good
"ANGEL, Tommy",NASCO,Singles: 7-inch,Rockabilly,"Name written on one side of label. B-side= ""Black Night.""","6022 ""Honey Bee"" ",Near Mint
ANGELINE & TEEN TOWNERS,BERTRAM INT,Singles: 7-inch,Rock,"Bertram Int. 202. ""Hula Rock And Roll"" and ""I Was The Last One To Know."""," 202 ""Hula Rock &  Roll""",Near Mint
ANGELS,CAPRICE,Singles: 7-inch,Doo Wop,"B-side= ""That's All I Ask Of You.""","112 ""Cry Baby Cry"" ",Near Mint
ANGELS,SMASH,Singles: 7-inch,Doo Wop,"B-side= ""(Love Me) Now."" With original Smash sleeve.","1834 ""My Boyfriend's  Back"" ",Very Good
ANGELS,SMASH,Singles: 7-inch,Doo Wop,"B-side+ ""Thank You And Goodnight."" With original Smash sleeve.","1854 ""I Adore Him"" ",Near Mint
ANGELS,SMASH,Singles: 7-inch,Doo Wop,"B-side= ""Wow Wow Wee."" With original Smash sleeve.","1870 ""Wow Wow Wee"" ",Near Mint
ANIMALS,STARDUST,Singles: 7-inch,Rock,Violet colored vinyl. ,"1230 ""House Of The Rising Sun"" ",Near Mint
ANIMALS,ABKCO,Singles: 7-inch,Rock,"Abkco 4025. ""House Of The Rising Sun"" and ""Bring It On Home."" With original Abkco sleeve.", ,Near Mint
ANIMALS,MGM,Singles: 7-inch,Rock,With original MGM sleeve.,"13242 ""Gonna Send You Back to Walker"" ",Near Mint
ANIMALS,MGM,Singles: 7-inch,Rock,"MGM 13274. ""I'm Crying"" and ""Take It Easy, Baby."" With original MGM sleeve.",13274 thru 14013 ,Near Mint
ANIMALS,MGM,Picture Sleeves,Rock,"","13264 ""House of the Rising  Sun"" ",Very Good +
ANITA & TH' SO-AND-SO'S,RCA,Singles: 7-inch,Doo Wop,"B-side= ""Rinky Tinky Rhythm."" {Belding Box}","7974 ""Joey Baby"" ",Very Good +
"ANKA, Paul",ABC-PAR,Promotional Singles,Rock 'n' Roll,"","10220 ""Dance On Little Girl"" ",Very Good +
"ANKA, Paul",ABC-PAR,Singles: 7-inch,Rock,"B-side= ""Don't Gamble With Love."" Small sticker on one side of label. [RockB1]","9831 ""Diana"" ",Very Good
"ANKA, Paul",ABC-PAR,Singles: 7-inch,Rock 'n' Roll,"","9880 ""You Are My  Destiny"" ",Very Good +
"ANKA, Paul",ABC-PAR,Singles: 7-inch,Rock 'n' Roll,With original ABC-Paramount sleeve.,"9907 ""Crazy Love"" ",Very Good +
"ANKA, Paul",ABC-PAR,Singles: 7-inch,Rock 'n' Roll,"","10022 ""Lonely Boy"" Monaural.",Very Good
"ANKA, Paul",ABC-PAR,Singles: 7-inch,Rock 'n' Roll,"B-side= ""Don't Ever Leave Me.""","10040 ""Put Your Head on My  Shoulder"" Monaural.",Very Good
"ANKA, Paul",ABC-PAR,Singles: 7-inch,Rock 'n' Roll,"","10132 ""Hello Young  Lovers"" Monaural.",Very Good +
"ANKA, Paul",ABC-PAR,Singles: 7-inch,Rock 'n' Roll,"ABC-Paramount 10220. ""Dance On Little Girl"" and ""I Talk To You.""",10194 thru 10338 ,Very Good
"ANKA, Paul",RCA,Singles: 7-inch,Rock 'n' Roll,With original RCA Victor sleeve.,"47-7977 ""Love Me Warm and  Tender"" ",Near Mint
ANN MARIE,JUBILEE,Promotional Singles,R&B,"B-side= ""There Must Be A Reason.""","5490 ""Runaround"" ",Very Good +
ANN-MARGRET,RCA,Singles: 7-inch,Rock 'n' Roll,"B-side= ""I Don't Hurt Anymore.""","47-7894 ""I Just Don't  Understand"" ",Near Mint
ANN-MARGRET,RCA,Picture Sleeves,Rock 'n' Roll,"","7894 ""I Just Don't  Understand"" ",Very Good +
ANNETTE,BUENA VISTA,Singles: 7-inch,Pop,"B-side= ""Indian Giver.""","375 ""Mama Mama  Rosa"" ",Very Good ++
ANNETTE,BUENA VISTA,Singles: 7-inch,Pop,"","405 ""He's My  Ideal"" ",Very Good
ANNETTE,BUENA VISTA,Singles: 7-inch,Rock,"B-side= ""How Will I Know My Love.""","440 ""The Monkey's  Uncle"" With the Beach Boys.",Very Good ++
ANNETTE,DISNEYLAND,Singles: 7-inch,Pop,"","118 ""Tall Paul"" ",Very Good +
ANNETTE,BUENA VISTA,Picture Sleeves,Pop,"","375 ""Mama Mama  Rosa"" ",Very Good ++
ANNETTE,BUENA VISTA,Picture Sleeves,Pop,Small piece of paper glued to both sides.,"440 ""The Monkey's  Uncle"" ",Near Mint
ANNETTE,BUENA VISTA,EPs: 7-inch,Pop,"","3301 ""Annette"" ",Very Good
"ANTELL, Peter",CAMEO,Singles: 7-inch,Doo Wop,"B-side- ""Something About You.""","234 ""Night Time"" Big print. Dull label.",Good
"ANTHONY, Nick",ABC-PAR,Promotional Singles,Rockabilly,"Tear at top of one side of label. B-side= ""More Than Ever."" With original ABC-Paramount sleeve.","9919 ""You're Real Keen, Jelly Bean"" ",Very Good
"ANTHONY, Ray, & His Orchestra",CAPITOL,Singles: 7-inch,Instrumental,"Capitol 4041. ""Peter Gunn"" and ""Tango For Two."" With original Capitol sleeve.", ,Very Good
APPALACHIANS,ABC-PAR,Singles: 7-inch,Rock,Tear on one side of label.,"10419 ""Bony Maronie"" ",Very Good ++
APPEGGIOS,ARIES,Singles: 7-inch,Doo Wop,"Reproduction (has a ring-like stamp in the matrix). B-side= ""Mary.""","001 ""I'll Be Singing"" ",Near Mint
APPLEJACKS,CAMEO,Singles: 7-inch,Instrumental,"Cameo 132. ""Dinner With Drac"" and No Name Theme."" Small sticker and tape on one side of label.",100 series ,Very Good
AQUATONES,FARGO,Singles: 7-inch,Doo Wop,"B-side= ""You.""","1001 ""She's the One for   Me"" ",Very Good
ARBORS,DATE,Singles: 7-inch,Rock,"B-side= ""Love Is The Light."" With original Date sleeve.","1529 ""A Symphony for  Susan"" Black vinyl.",Near Mint
